Sample,Number_of_raw_reads,Classified_reads,Chordate reads,Artificial reads,Unclassified reads,Microbial reads,Bacterial reads,Viral reads,Fungal reads,Protozoan reads
MS11669,"68,357,888",0.0178,0.0002,0.0000,0.9820,0.0176,0.0173,0.0000,0.0000,0.0000
MS11670,"32,716,889",0.0181,0.0001,0.0000,0.9820,0.0180,0.0174,0.0003,0.0000,0.0000
MS11673,"53,324,436",0.0085,0.0001,0.0000,0.9910,0.0084,0.0081,0.0000,0.0000,0.0000
MS11674,"35,909,209",0.0191,0.0012,0.0000,0.9810,0.0176,0.0175,0.0000,0.0000,0.0000
MS11675,"73,453,098",0.0465,0.0003,0.0000,0.9530,0.0461,0.0431,0.0026,0.0000,0.0000
MS11676,"59,158,225",0.0184,0.0011,0.0000,0.9820,0.0172,0.0162,0.0007,0.0000,0.0000
MS11677,"55,064,681",0.0139,0.0007,0.0000,0.9860,0.0132,0.0129,0.0000,0.0000,0.0000
MS11678,"57,976,128",0.0255,0.0036,0.0000,0.9740,0.0218,0.0206,0.0007,0.0000,0.0000
MS11679,"59,390,428",0.0286,0.0005,0.0000,0.9710,0.0280,0.0275,0.0002,0.0000,0.0000
MS11683,"73,463,773",0.0184,0.0004,0.0000,0.9820,0.0179,0.0175,0.0001,0.0000,0.0000
MS11684,"35,544,517",0.0342,0.0004,0.0000,0.9660,0.0333,0.0326,0.0005,0.0000,0.0000
MS11686,"40,304,653",0.0222,0.0004,0.0000,0.9780,0.0217,0.0208,0.0006,0.0000,0.0000
MS11770,"41,571,911",0.0186,0.0006,0.0000,0.9810,0.0180,0.0168,0.0005,0.0000,0.0000
MS11771,"51,921,196",0.0646,0.0003,0.0000,0.9350,0.0633,0.0628,0.0002,0.0000,0.0000
MS11774,"66,621,108",0.0272,0.0012,0.0000,0.9730,0.0258,0.0247,0.0009,0.0000,0.0000
MS11775,"60,318,800",0.0397,0.0003,0.0000,0.9600,0.0393,0.0390,0.0000,0.0000,0.0000
